category,source,freq,ticker,cut,fields,sourceticker,local-close,ldn-close,,
fx,quandl,daily,EURUSD,NYC,close,FRED/DEXUSEU,5:00pm NYC,,,
fx,quandl,daily,GBPUSD,NYC,close,FRED/DEXUSUK,5:00pm NYC,,,
fx,quandl,daily,AUDUSD,NYC,close,FRED/DEXUSAL,5:00pm NYC,,,
fx,quandl,daily,NZDUSD,NYC,close,FRED/DEXUSNZ,5:00pm NYC,,,
fx,quandl,daily,USDCAD,NYC,close,FRED/DEXCAUS,5:00pm NYC,,,
fx,quandl,daily,USDCHF,NYC,close,FRED/DEXSZUS,5:00pm NYC,,,
fx,quandl,daily,USDNOK,NYC,close,FRED/DEXNOUS,5:00pm NYC,,,
fx,quandl,daily,USDSEK,NYC,close,FRED/DEXSDUS,5:00pm NYC,,,
fx,quandl,daily,USDJPY,NYC,close,FRED/DEXJPUS,5:00pm NYC,,,
fx,eikon,daily,EURUSD,NYC,"close,open,high,low",EUR=,5:00pm NYC,,,
fx,eikon,daily,GBPUSD,NYC,"close,open,high,low",GBP=,5:00pm NYC,,,
fx,eikon,daily,AUDUSD,NYC,"close,open,high,low",AUD=,5:00pm NYC,,,
fx,eikon,daily,NZDUSD,NYC,"close,open,high,low",NZD=,5:00pm NYC,,,
fx,eikon,daily,USDCAD,NYC,"close,open,high,low",CAD=,5:00pm NYC,,,
fx,eikon,daily,USDCHF,NYC,"close,open,high,low",CHF=,5:00pm NYC,,,
fx,eikon,daily,USDNOK,NYC,"close,open,high,low",NOK=,5:00pm NYC,,,
fx,eikon,daily,USDSEK,NYC,"close,open,high,low",SEK=,5:00pm NYC,,,
fx,eikon,daily,USDJPY,NYC,"close,open,high,low",JPY=,5:00pm NYC,,,
fx,eikon,intraday,EURUSD,NYC,"close,open,high,low",EUR=,5:00pm NYC,,,
fx,eikon,intraday,GBPUSD,NYC,"close,open,high,low",GBP=,5:00pm NYC,,,
fx,eikon,intraday,AUDUSD,NYC,"close,open,high,low",AUD=,5:00pm NYC,,,
fx,eikon,intraday,NZDUSD,NYC,"close,open,high,low",NZD=,5:00pm NYC,,,
fx,eikon,intraday,USDCAD,NYC,"close,open,high,low",CAD=,5:00pm NYC,,,
fx,eikon,intraday,USDCHF,NYC,"close,open,high,low",CHF=,5:00pm NYC,,,
fx,eikon,intraday,USDNOK,NYC,"close,open,high,low",NOK=,5:00pm NYC,,,
fx,eikon,intraday,USDSEK,NYC,"close,open,high,low",SEK=,5:00pm NYC,,,
fx,eikon,intraday,USDJPY,NYC,"close,open,high,low",JPY=,5:00pm NYC,,,
fx,eikon,tick,EURUSD,NYC,"bid,ask",EUR=,5:00pm NYC,,,
fx,eikon,tick,GBPUSD,NYC,"bid,ask",GBP=,5:00pm NYC,,,
fx,eikon,tick,AUDUSD,NYC,"bid,ask",AUD=,5:00pm NYC,,,
fx,eikon,tick,NZDUSD,NYC,"bid,ask",NZD=,5:00pm NYC,,,
fx,eikon,tick,USDCAD,NYC,"bid,ask",CAD=,5:00pm NYC,,,
fx,eikon,tick,USDCHF,NYC,"bid,ask",CHF=,5:00pm NYC,,,
fx,eikon,tick,USDNOK,NYC,"bid,ask",NOK=,5:00pm NYC,,,
fx,eikon,tick,USDSEK,NYC,"bid,ask",SEK=,5:00pm NYC,,,
fx,eikon,tick,USDJPY,NYC,"bid,ask",JPY=,5:00pm NYC,,,
fx,dukascopy,tick,EURUSD,NYC,"bid,ask,bidv,askv,volume",EURUSD,5:00pm NYC,,,
fx,dukascopy,tick,GBPUSD,NYC,"bid,ask,bidv,askv,volume",GBPUSD,5:00pm NYC,,,
fx,dukascopy,tick,AUDUSD,NYC,"bid,ask,bidv,askv,volume",AUDUSD,5:00pm NYC,,,
fx,dukascopy,tick,NZDUSD,NYC,"bid,ask,bidv,askv,volume",NZDUSD,5:00pm NYC,,,
fx,dukascopy,tick,USDCAD,NYC,"bid,ask,bidv,askv,volume",USDCAD,5:00pm NYC,,,
fx,dukascopy,tick,USDCHF,NYC,"bid,ask,bidv,askv,volume",USDCHF,5:00pm NYC,,,
fx,dukascopy,tick,USDNOK,NYC,"bid,ask,bidv,askv,volume",USDNOK,5:00pm NYC,,,
fx,dukascopy,tick,USDSEK,NYC,"bid,ask,bidv,askv,volume",USDSEK,5:00pm NYC,,,
fx,dukascopy,tick,USDJPY,NYC,"bid,ask,bidv,askv,volume",USDJPY,5:00pm NYC,,,
fx,dukascopy,tick,EURCHF,NYC,"bid,ask,bidv,askv,volume",EURCHF,5:00pm NYC,,,
fx,dukascopy,tick,AUDCAD,NYC,"bid,ask,bidv,askv,volume",AUDCAD,5:00pm NYC,,,
fx,dukascopy,tick,AUDCHF,NYC,"bid,ask,bidv,askv,volume",AUDCHF,5:00pm NYC,,,
fx,dukascopy,tick,AUDJPY,NYC,"bid,ask,bidv,askv,volume",AUDJPY,5:00pm NYC,,,
fx,dukascopy,tick,AUDNZD,NYC,"bid,ask,bidv,askv,volume",AUDNZD,5:00pm NYC,,,
fx,dukascopy,tick,AUDSGD,NYC,"bid,ask,bidv,askv,volume",AUDSGD,5:00pm NYC,,,
fx,dukascopy,tick,CADCHF,NYC,"bid,ask,bidv,askv,volume",CADCHF,5:00pm NYC,,,
fx,dukascopy,tick,CADHKD,NYC,"bid,ask,bidv,askv,volume",CADHKD,5:00pm NYC,,,
fx,dukascopy,tick,CADJPY,NYC,"bid,ask,bidv,askv,volume",CADJPY,5:00pm NYC,,,
fx,dukascopy,tick,CHFJPY,NYC,"bid,ask,bidv,askv,volume",CHFJPY,5:00pm NYC,,,
fx,dukascopy,tick,CHFPLN,NYC,"bid,ask,bidv,askv,volume",CHFPLN,5:00pm NYC,,,
fx,dukascopy,tick,CHFSGD,NYC,"bid,ask,bidv,askv,volume",CHFSGD,5:00pm NYC,,,
fx,dukascopy,tick,EURAUD,NYC,"bid,ask,bidv,askv,volume",EURAUD,5:00pm NYC,,,
fx,dukascopy,tick,EURCAD,NYC,"bid,ask,bidv,askv,volume",EURCAD,5:00pm NYC,,,
fx,dukascopy,tick,EURDKK,NYC,"bid,ask,bidv,askv,volume",EURDKK,5:00pm NYC,,,
fx,dukascopy,tick,EURGBP,NYC,"bid,ask,bidv,askv,volume",EURGBP,5:00pm NYC,,,
fx,dukascopy,tick,EURHKD,NYC,"bid,ask,bidv,askv,volume",EURHKD,5:00pm NYC,,,
fx,dukascopy,tick,EURJPY,NYC,"bid,ask,bidv,askv,volume",EURJPY,5:00pm NYC,,,
fx,dukascopy,tick,EURNOK,NYC,"bid,ask,bidv,askv,volume",EURNOK,5:00pm NYC,,,
fx,dukascopy,tick,EURNZD,NYC,"bid,ask,bidv,askv,volume",EURNZD,5:00pm NYC,,,
fx,dukascopy,tick,EURPLN,NYC,"bid,ask,bidv,askv,volume",EURPLN,5:00pm NYC,,,
fx,dukascopy,tick,EURRUB,NYC,"bid,ask,bidv,askv,volume",EURRUB,5:00pm NYC,,,
fx,dukascopy,tick,EURSEK,NYC,"bid,ask,bidv,askv,volume",EURSEK,5:00pm NYC,,,
fx,dukascopy,tick,EURSGD,NYC,"bid,ask,bidv,askv,volume",EURSGD,5:00pm NYC,,,
fx,dukascopy,tick,EURTRY,NYC,"bid,ask,bidv,askv,volume",EURTRY,5:00pm NYC,,,
fx,dukascopy,tick,GBPAUD,NYC,"bid,ask,bidv,askv,volume",GBPAUD,5:00pm NYC,,,
